"...1","Year","State","State ANSI","Value","CV (%)","Type","Condition","Metric"
1,2021,"ALASKA","02",2,NA,"","SALES",""
2,2021,"ALASKA","02",NA,NA,"","PRODUCTION"," CWT"
3,2021,"ALASKA","02",NA,NA,"","SALES"," $"
4,2021,"ALASKA","02",NA,NA,"","SALES"," CWT"
5,2021,"ALASKA","02",2,NA," FRESH MARKET","SALES",""
6,2021,"ALASKA","02",NA,NA," FRESH MARKET","SALES"," $"
7,2021,"ALASKA","02",NA,NA," FRESH MARKET","SALES"," CWT"
8,2021,"CALIFORNIA","06",142,"19.2","","SALES",""
9,2021,"CALIFORNIA","06",1413251,"51.6","","PRODUCTION"," CWT"
10,2021,"CALIFORNIA","06",311784980,"46.0","","SALES"," $"
11,2021,"CALIFORNIA","06",1412627,"51.7","","SALES"," CWT"
12,2021,"CALIFORNIA","06",141,"20.4"," FRESH MARKET","SALES",""
13,2021,"CALIFORNIA","06",NA,NA," FRESH MARKET","SALES"," $"
14,2021,"CALIFORNIA","06",1401384,"50.6"," FRESH MARKET","SALES"," CWT"
15,2021,"CALIFORNIA","06",7,"60.0"," PROCESSING","SALES",""
16,2021,"CALIFORNIA","06",NA,NA," PROCESSING","SALES"," $"
17,2021,"CALIFORNIA","06",11244,NA," PROCESSING","SALES"," CWT"
18,2021,"CONNECTICUT","09",8,"74.4","","SALES",""
19,2021,"CONNECTICUT","09",183,NA,"","PRODUCTION"," CWT"
20,2021,"CONNECTICUT","09",40890,NA,"","SALES"," $"
21,2021,"CONNECTICUT","09",183,NA,"","SALES"," CWT"
22,2021,"CONNECTICUT","09",8,"74.4"," FRESH MARKET","SALES",""
23,2021,"CONNECTICUT","09",40890,NA," FRESH MARKET","SALES"," $"
24,2021,"CONNECTICUT","09",183,NA," FRESH MARKET","SALES"," CWT"
25,2021,"FLORIDA","12",10,"57.3","","SALES",""
26,2021,"FLORIDA","12",67146,NA,"","PRODUCTION"," CWT"
27,2021,"FLORIDA","12",18358396,NA,"","SALES"," $"
28,2021,"FLORIDA","12",67146,NA,"","SALES"," CWT"
29,2021,"FLORIDA","12",10,"57.3"," FRESH MARKET","SALES",""
30,2021,"FLORIDA","12",18358396,NA," FRESH MARKET","SALES"," $"
31,2021,"FLORIDA","12",67146,NA," FRESH MARKET","SALES"," CWT"
32,2021,"GEORGIA","13",4,"80.4","","SALES",""
33,2021,"GEORGIA","13",19,"78.0","","PRODUCTION"," CWT"
34,2021,"GEORGIA","13",11600,"77.8","","SALES"," $"
35,2021,"GEORGIA","13",19,"78.0","","SALES"," CWT"
36,2021,"GEORGIA","13",4,"80.4"," FRESH MARKET","SALES",""
37,2021,"GEORGIA","13",11600,"77.8"," FRESH MARKET","SALES"," $"
38,2021,"GEORGIA","13",19,"78.0"," FRESH MARKET","SALES"," CWT"
39,2021,"IDAHO","16",6,"53.2","","SALES",""
40,2021,"IDAHO","16",111,"71.4","","PRODUCTION"," CWT"
41,2021,"IDAHO","16",31680,"74.1","","SALES"," $"
42,2021,"IDAHO","16",111,"71.4","","SALES"," CWT"
43,2021,"IDAHO","16",6,"53.2"," FRESH MARKET","SALES",""
44,2021,"IDAHO","16",31680,"74.1"," FRESH MARKET","SALES"," $"
45,2021,"IDAHO","16",111,"71.4"," FRESH MARKET","SALES"," CWT"
46,2021,"ILLINOIS","17",5,"95.4","","SALES",""
47,2021,"ILLINOIS","17",53,"94.9","","PRODUCTION"," CWT"
48,2021,"ILLINOIS","17",16000,"95.0","","SALES"," $"
49,2021,"ILLINOIS","17",53,"94.9","","SALES"," CWT"
50,2021,"ILLINOIS","17",5,"95.4"," FRESH MARKET","SALES",""
51,2021,"ILLINOIS","17",16000,"95.0"," FRESH MARKET","SALES"," $"
52,2021,"ILLINOIS","17",53,"94.9"," FRESH MARKET","SALES"," CWT"
53,2021,"INDIANA","18",2,NA,"","SALES",""
54,2021,"INDIANA","18",NA,NA,"","PRODUCTION"," CWT"
55,2021,"INDIANA","18",NA,NA,"","SALES"," $"
56,2021,"INDIANA","18",NA,NA,"","SALES"," CWT"
57,2021,"INDIANA","18",2,NA," FRESH MARKET","SALES",""
58,2021,"INDIANA","18",NA,NA," FRESH MARKET","SALES"," $"
59,2021,"INDIANA","18",NA,NA," FRESH MARKET","SALES"," CWT"
60,2021,"IOWA","19",6,"97.5","","SALES",""
61,2021,"IOWA","19",74,"96.4","","PRODUCTION"," CWT"
62,2021,"IOWA","19",NA,NA,"","SALES"," $"
63,2021,"IOWA","19",74,"96.4","","SALES"," CWT"
64,2021,"IOWA","19",6,"97.5"," FRESH MARKET","SALES",""
65,2021,"IOWA","19",NA,NA," FRESH MARKET","SALES"," $"
66,2021,"IOWA","19",74,"96.4"," FRESH MARKET","SALES"," CWT"
67,2021,"KENTUCKY","21",12,"69.1","","SALES",""
68,2021,"KENTUCKY","21",62,"72.0","","PRODUCTION"," CWT"
